dataset	subject	session	n_raw_runs	n_timeseries_runs	n_qc_runs	raw_duration_sec	usable_duration_sec	passes_gate	has_connectome
friends	04	013	4	4	4	2723.7200000000003	2670.0	True	True
friends	04	014	8	8	8	5676.9	5665.5	True	True
friends	04	015	6	6	6	4139.22	4026.0	True	True
friends	04	016	4	4	4	2908.48	2881.5	True	True
friends	04	017	6	6	6	4255.4400000000005	4237.5	True	True
friends	04	018	6	6	6	4252.46	4182.0	True	True
friends	04	019	6	6	6	4163.0599999999995	4023.0	True	True
friends	04	020	4	4	4	2708.8199999999997	2712.0	True	True
friends	04	021	2	2	2	1397.62	1402.5	False	True
friends	04	022	2	2	2	1394.64	1404.0	False	True
friends	04	023	4	4	0	2878.6800000000003	2898.0	True	True
friends	04	024	6	6	0	4204.78	4233.0	True	True
friends	04	025	4	4	0	2792.26	2811.0	True	True
friends	04	026	4	4	0	2839.94	2859.0	True	True
friends	04	027	4	4	0	2704.35	2722.5	True	True
friends	04	028	6	6	0	4158.59	4186.5	True	True
friends	04	029	4	4	0	2759.48	2778.0	True	True
friends	04	030	6	6	0	4143.6900000000005	4171.5	True	True
friends	04	031	4	4	0	2753.52	2772.0	True	True
friends	04	032	10	10	0	6955.32	7002.0	True	True
friends	04	033	6	6	0	4100.48	4128.0	True	True
friends	04	034	6	6	0	4270.34	4299.0	True	True
friends	04	035	4	4	0	2813.12	2832.0	True	True
friends	04	036	6	6	0	4166.04	4194.0	True	True
friends	04	037	4	4	0	2667.1	2685.0	True	True
friends	04	038	6	6	0	4198.82	4227.0	True	True
friends	04	039	4	4	0	2643.26	2661.0	True	True
friends	04	040	4	4	0	2667.1	2685.0	True	True
friends	04	041	2	2	0	1367.82	1377.0	False	True
friends	04	042	4	4	0	3005.33	3025.5	True	True
friends	04	043	4	4	0	2889.1099999999997	2908.5	True	True
friends	05	001	2	2	2	1436.36	1446.0	False	True
friends	05	002	8	8	8	6082.18	4833.0	True	True
friends	05	003	10	10	10	7117.73	5355.0	True	True
friends	05	004	10	10	10	7157.96	5776.5	True	True
friends	05	005	8	8	8	5644.12	4134.0	True	True
friends	05	006	8	8	8	5745.4400000000005	4578.0	True	True
friends	05	007	10	10	10	6922.54	5349.0	True	True
friends	05	008	12	12	12	8525.78	6727.5	True	True
friends	05	009	12	12	12	8507.9	7215.0	True	True
friends	05	010	4	4	4	2762.46	2284.5	True	True
